epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0156,1.87976,2.36746,1.51327,0.59087,0.30725,0.39393,0.18266,1.5279,2.28937,1.15716,0.00065625,0.00065625,0.00065625
2,17.6444,1.5678,1.38461,1.28122,0.67901,0.64348,0.65797,0.37632,1.36943,1.29014,1.19332,0.00130982,0.00130982,0.00130982
3,24.2812,1.5355,1.27257,1.26709,0.72755,0.62415,0.66201,0.38165,1.35504,1.19364,1.14375,0.00195019,0.00195019,0.00195019
4,30.8293,1.52112,1.22532,1.26835,0.72289,0.62759,0.66525,0.38386,1.34755,1.42505,1.22109,0.0019406,0.0019406,0.0019406
5,37.3548,1.50403,1.18752,1.25979,0.70623,0.68792,0.69983,0.40777,1.37336,1.05364,1.16985,0.0019208,0.0019208,0.0019208
6,43.9309,1.45721,1.13428,1.23177,0.71225,0.58744,0.64071,0.3413,1.38917,1.18963,1.20702,0.001901,0.001901,0.001901
7,50.7209,1.41992,1.08935,1.21962,0.70319,0.7348,0.71638,0.42493,1.33075,1.02565,1.12872,0.0018812,0.0018812,0.0018812
8,57.2825,1.44461,1.0692,1.2222,0.7198,0.74396,0.74517,0.43771,1.35214,0.96571,1.16277,0.0018614,0.0018614,0.0018614
9,63.882,1.42897,1.05289,1.21022,0.74944,0.75717,0.78087,0.47085,1.26391,0.86976,1.09744,0.0018416,0.0018416,0.0018416
10,70.4681,1.39879,1.02481,1.20422,0.79484,0.77971,0.80914,0.48551,1.32755,0.84615,1.14826,0.0018218,0.0018218,0.0018218
11,77.0703,1.39809,1.01385,1.19248,0.73639,0.66184,0.68712,0.41788,1.28829,1.00989,1.1261,0.001802,0.001802,0.001802
12,83.8363,1.38089,0.97967,1.20051,0.7885,0.74921,0.78777,0.46556,1.40904,0.97124,1.19948,0.0017822,0.0017822,0.0017822
13,90.4821,1.3752,0.95603,1.18568,0.6899,0.68502,0.67099,0.40612,1.35602,1.33761,1.17666,0.0017624,0.0017624,0.0017624
14,97.1126,1.36099,0.93803,1.17139,0.78823,0.73724,0.79043,0.47849,1.3097,0.83382,1.13292,0.0017426,0.0017426,0.0017426
15,103.702,1.37145,0.94769,1.18971,0.77652,0.73913,0.78557,0.46088,1.35837,0.88834,1.12604,0.0017228,0.0017228,0.0017228
16,110.251,1.36968,0.92896,1.18293,0.80294,0.75169,0.79876,0.49053,1.37791,0.79478,1.15172,0.001703,0.001703,0.001703
17,117.001,1.34968,0.91758,1.16567,0.82378,0.7317,0.80344,0.4688,1.31926,0.81138,1.14288,0.0016832,0.0016832,0.0016832
18,123.611,1.34772,0.89426,1.16398,0.8059,0.75417,0.7952,0.50603,1.21681,0.76451,1.08662,0.0016634,0.0016634,0.0016634
19,130.176,1.34133,0.8953,1.17646,0.76102,0.5846,0.65031,0.3693,1.36089,1.18782,1.17465,0.0016436,0.0016436,0.0016436
20,136.743,1.33087,0.88356,1.17051,0.80234,0.76086,0.81238,0.50465,1.29447,0.75409,1.10274,0.0016238,0.0016238,0.0016238
21,143.319,1.32737,0.87684,1.16642,0.79457,0.72496,0.78925,0.47274,1.25974,0.82263,1.11053,0.001604,0.001604,0.001604
