epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.376,1.89053,2.17856,1.53191,0.72028,0.46524,0.53815,0.30073,1.6533,2.18007,1.30996,0.00065625,0.00065625,0.00065625
2,42.9449,1.59511,1.39619,1.30141,0.60444,0.5507,0.54506,0.24903,1.65023,1.65564,1.32103,0.00130982,0.00130982,0.00130982
3,61.7066,1.54891,1.28768,1.27201,0.64233,0.64155,0.64245,0.35708,1.5168,1.50709,1.23503,0.00195019,0.00195019,0.00195019
4,81.9781,1.52106,1.24809,1.27609,0.67898,0.62995,0.6331,0.33277,1.61849,1.47255,1.29303,0.0019406,0.0019406,0.0019406
5,101.06,1.48271,1.17026,1.24479,0.71004,0.62029,0.66867,0.38184,1.48618,1.30512,1.20655,0.0019208,0.0019208,0.0019208
6,126.236,1.47823,1.13798,1.23178,0.76519,0.71786,0.75114,0.45436,1.41941,1.18907,1.15637,0.001901,0.001901,0.001901
7,144.984,1.45069,1.09042,1.2252,0.69733,0.5654,0.61142,0.35163,1.5256,1.56545,1.23793,0.0018812,0.0018812,0.0018812
8,164.912,1.43192,1.04283,1.22122,0.76238,0.71884,0.74802,0.44097,1.42795,1.12027,1.18153,0.0018614,0.0018614,0.0018614
9,184.352,1.40615,1.01581,1.19719,0.80234,0.72464,0.78539,0.46305,1.44379,1.08976,1.18074,0.0018416,0.0018416,0.0018416
10,203.526,1.41892,1.03377,1.21433,0.76454,0.74353,0.76706,0.44848,1.42078,1.11434,1.16434,0.0018218,0.0018218,0.0018218
11,224.337,1.41023,0.99841,1.2033,0.67918,0.63188,0.65639,0.37013,1.44946,1.43436,1.22348,0.001802,0.001802,0.001802
12,242.942,1.39591,0.98442,1.19083,0.7665,0.64444,0.71655,0.41267,1.44011,1.16785,1.18016,0.0017822,0.0017822,0.0017822
13,261.658,1.39764,0.98787,1.20585,0.76781,0.74443,0.77873,0.43009,1.52625,1.24104,1.23476,0.0017624,0.0017624,0.0017624
14,282.073,1.37328,0.94174,1.1838,0.79153,0.70821,0.7691,0.44709,1.41039,1.06492,1.18298,0.0017426,0.0017426,0.0017426
15,300.561,1.39376,0.96172,1.19522,0.7992,0.70371,0.77094,0.47082,1.39958,1.07503,1.1429,0.0017228,0.0017228,0.0017228
16,319.426,1.34851,0.93119,1.18349,0.74968,0.73787,0.78503,0.46897,1.39493,1.0354,1.15613,0.001703,0.001703,0.001703
17,339.374,1.3374,0.90375,1.16625,0.81316,0.73168,0.80122,0.48721,1.34702,0.98628,1.1414,0.0016832,0.0016832,0.0016832
18,357.927,1.3255,0.87865,1.15485,0.75393,0.73333,0.76835,0.43708,1.44281,1.08656,1.1871,0.0016634,0.0016634,0.0016634
19,376.653,1.33251,0.87844,1.16203,0.83127,0.74879,0.81397,0.47379,1.46423,0.95563,1.17659,0.0016436,0.0016436,0.0016436
20,397.019,1.34616,0.89652,1.17654,0.78449,0.75362,0.78395,0.44916,1.44741,1.20715,1.18633,0.0016238,0.0016238,0.0016238
21,415.601,1.31748,0.85542,1.14886,0.79114,0.75028,0.8055,0.49957,1.36867,1.1189,1.13565,0.001604,0.001604,0.001604
22,434.365,1.33185,0.86456,1.16477,0.80591,0.76625,0.81494,0.49711,1.37382,0.98441,1.15392,0.0015842,0.0015842,0.0015842
23,454.374,1.30686,0.85343,1.1523,0.81297,0.79377,0.82571,0.48097,1.4537,0.93094,1.17058,0.0015644,0.0015644,0.0015644
24,472.813,1.29715,0.85432,1.14444,0.81047,0.74976,0.81006,0.48221,1.40491,0.95181,1.14578,0.0015446,0.0015446,0.0015446
25,491.241,1.29505,0.82965,1.14223,0.77551,0.70725,0.76457,0.44532,1.42403,1.09515,1.1948,0.0015248,0.0015248,0.0015248
26,510.939,1.29226,0.83357,1.1406,0.84441,0.75556,0.82248,0.50038,1.34865,0.88682,1.1244,0.001505,0.001505,0.001505
27,529.666,1.31549,0.84212,1.15653,0.80231,0.78421,0.81811,0.46918,1.4632,0.89959,1.19561,0.0014852,0.0014852,0.0014852
28,548.518,1.28939,0.82388,1.14272,0.83998,0.77198,0.82412,0.50267,1.41262,0.88764,1.17564,0.0014654,0.0014654,0.0014654
29,568.375,1.27086,0.81658,1.13027,0.78558,0.7646,0.81253,0.47605,1.35253,0.97324,1.13029,0.0014456,0.0014456,0.0014456
30,587.013,1.26349,0.80529,1.13293,0.80491,0.75749,0.8036,0.46123,1.43082,1.07851,1.17612,0.0014258,0.0014258,0.0014258
31,605.81,1.25332,0.79117,1.12366,0.83048,0.75169,0.80858,0.46809,1.43471,1.02599,1.18091,0.001406,0.001406,0.001406
32,625.621,1.23548,0.77816,1.12131,0.81418,0.75942,0.80853,0.48716,1.39227,0.96378,1.16607,0.0013862,0.0013862,0.0013862
33,644.343,1.24906,0.78285,1.1196,0.80998,0.76908,0.81881,0.47271,1.40902,0.96595,1.16219,0.0013664,0.0013664,0.0013664
34,663.863,1.25542,0.79435,1.12729,0.82401,0.77585,0.83725,0.49872,1.36431,0.91733,1.1271,0.0013466,0.0013466,0.0013466
35,683.173,1.22684,0.76817,1.10599,0.7562,0.68028,0.73643,0.39465,1.5223,1.06377,1.24206,0.0013268,0.0013268,0.0013268
36,701.696,1.23361,0.77182,1.11637,0.84811,0.76522,0.82694,0.46668,1.44576,0.95152,1.18892,0.001307,0.001307,0.001307
37,721.458,1.22803,0.76147,1.11021,0.80875,0.79614,0.82877,0.49597,1.37655,0.91483,1.15209,0.0012872,0.0012872,0.0012872
38,740.291,1.24925,0.76582,1.11855,0.79088,0.78068,0.82606,0.5135,1.32086,0.91022,1.1197,0.0012674,0.0012674,0.0012674
39,758.942,1.20996,0.75441,1.09812,0.85055,0.77535,0.85017,0.52288,1.3352,0.85661,1.12951,0.0012476,0.0012476,0.0012476
40,778.805,1.21182,0.75122,1.10354,0.7935,0.74997,0.8046,0.50075,1.34265,0.92395,1.13036,0.0012278,0.0012278,0.0012278
41,797.574,1.20158,0.75022,1.09463,0.83844,0.78841,0.84634,0.49688,1.36228,0.85966,1.17062,0.001208,0.001208,0.001208
42,816.113,1.20348,0.74568,1.10413,0.83669,0.77219,0.83752,0.49714,1.41222,0.89589,1.18473,0.0011882,0.0011882,0.0011882
43,835.945,1.17624,0.72003,1.08906,0.82325,0.7942,0.84427,0.50714,1.36106,0.86341,1.14656,0.0011684,0.0011684,0.0011684
44,854.788,1.19024,0.72975,1.10005,0.81703,0.78954,0.84602,0.49282,1.41001,0.88732,1.1646,0.0011486,0.0011486,0.0011486
